"Tabela 2051 - Pessoas ocupadas na semana de referência por grupos de idade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variável - Pessoas ocupadas na semana de referência - percentual do total geral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nível","Total das áreas - PME e Região Metropolitana","Mês x Grupo de idade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","março 2002","abril 2002","maio 2002","junho 2002","julho 2002","agosto 2002","setembro 2002","outubro 2002","novembro 2002","dezembro 2002","janeiro 2003","fevereiro 2003","março 2003","abril 2003","maio 2003","junho 2003","julho 2003","agosto 2003","setembro 2003","outubro 2003","novembro 2003","dezembro 2003","janeiro 2004","fevereiro 2004","março 2004","abril 2004","maio 2004","junho 2004","julho 2004","agosto 2004","setembro 2004","outubro 2004","novembro 2004","dezembro 2004","janeiro 2005","fevereiro 2005","março 2005","abril 2005","maio 2005","junho 2005","julho 2005","agosto 2005","setembro 2005","outubro 2005","novembro 2005","dezembro 2005","janeiro 2006","fevereiro 2006","março 2006","abril 2006","maio 2006","junho 2006","julho 2006","agosto 2006","setembro 2006","outubro 2006","novembro 2006","dezembro 2006","janeiro 2007","fevereiro 2007","março 2007","abril 2007","maio 2007","junho 2007","julho 2007","agosto 2007","setembro 2007","outubro 2007","novembro 2007","dezembro 2007","janeiro 2008","fevereiro 2008","março 2008","abril 2008","maio 2008","junho 2008","julho 2008","agosto 2008","setembro 2008","outubro 2008","novembro 2008","dezembro 2008","janeiro 2009","fevereiro 2009","março 2009","abril 2009","maio 2009","junho 2009","julho 2009","agosto 2009","setembro 2009","outubro 2009","novembro 2009","dezembro 2009","janeiro 2010","fevereiro 2010","março 2010","abril 2010","maio 2010","junho 2010","julho 2010","agosto 2010","setembro 2010","outubro 2010","novembro 2010","dezembro 2010","janeiro 2011","fevereiro 2011","março 2011","abril 2011","maio 2011","junho 2011","julho 2011","agosto 2011","setembro 2011","outubro 2011","novembro 2011","dezembro 2011","janeiro 2012","fevereiro 2012","março 2012","abril 2012","maio 2012","junho 2012","julho 2012","agosto 2012","setembro 2012","outubro 2012","novembro 2012","dezembro 2012","janeiro 2013","fevereiro 2013","março 2013","abril 2013","maio 2013","junho 2013","julho 2013","agosto 2013","setembro 2013","outubro 2013","novembro 2013","dezembro 2013","janeiro 2014","fevereiro 2014","março 2014","abril 2014","maio 2014","junho 2014","julho 2014","agosto 2014","setembro 2014","outubro 2014","novembro 2014","dezembro 2014","janeiro 2015","fevereiro 2015","março 2015","abril 2015","maio 2015","junho 2015","julho 2015","agosto 2015","setembro 2015","outubro 2015","novembro 2015","dezembro 2015","janeiro 2016","fevereiro 2016"
"","","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos","18 a 24 anos"
"RM","Recife (PE)","16.9","16.37","17.1","17.23","17.13","16.95","16.98","17.07","16.78","17.21","17.34","17.1","17.08","16.81","16.6","16.21","16.68","16.96","17.02","16.47","16.6","16.64","16.55","16.13","16.11","16.46","16.81","16.63","17.1","17.02","17.03","17.37","16.83","17.04","16.13","16.36","15.69","15.34","15.5","14.43","14.63","15.53","15.35","15.63","15.81","15.61","14.6","14.8","14.73","15.56","15.48","15.27","15.1","15.73","15.21","15.45","16.15","15.38","14.76","14.76","15.13","14.45","15.45","15.07","15.36","15.31","14.73","14.21","14.97","14.81","14.01","13.45","13.55","13.51","13.8","14.26","15.28","14.89","14.71","14.29","13.58","14.38","12.55","12.82","13.8","13.58","13.86","14.29","13.48","14.24","14.21","14.34","14.48","14.92","13.68","13.26","13.61","13.88","13.9","13.99","14.65","13.91","14.73","14.5","14.29","14.04","13.54","13.24","12.69","13.12","13.99","13.84","13.73","13.98","13.72","13.18","13.53","13.98","13.69","14.26","13.97","14.66","13.21","13.77","13.62","13.06","13.53","13.14","14.19","14.03","14.1","13.71","13.95","14.15","13.85","12.21","12.86","12.81","13.03","12.41","13.25","13.7","13.57","12.86","12.61","12.88","12.83","12.85","12.54","12.67","12.03","12.16","12.24","12.31","12.36","12.03","11.62","11.6","10.9","10.69","11.94","11.51","11.7","11.23","11.01","10.92","10.79","9.85"
"RM","Salvador (BA)","18.3","18.32","17.96","17.22","16.19","16.82","16.78","16.48","16.55","17.54","17.67","17.77","18.1","17.05","17","16.25","15.86","15.52","16.13","16.57","16.37","16.63","16.2","16.3","16.91","16.49","17.68","17.07","17.79","17.4","16.94","16.91","16.97","16.63","16.89","17.08","15.91","16.2","16.17","15.84","16.71","16.93","17.02","17.37","17.36","17.4","16.48","16.24","15.82","15.93","15.57","15.58","15.13","15.4","15.38","16.16","16.67","15.84","15.93","15.49","15.64","15.31","15.39","15.3","15.56","16.15","15.9","15.54","15.62","15.14","14.26","14.3","14.07","14.67","14.66","14.59","14.57","15.31","15.61","14.73","14.55","14.61","14.12","14.21","13.46","14.05","13.96","13.91","13.69","13.66","13.53","13.42","13.36","13.43","14.04","13.99","13.85","13.26","13.66","13.96","13.14","13.1","12.77","13.3","12.45","12.17","12.1","12.49","13.23","13.86","13.64","13.4","12.62","12.61","13.12","12.66","12.67","12.29","11.28","11.81","11.74","11.78","11.47","10.68","11.35","11.26","11.83","12.12","12.06","11.34","11.49","11.94","11.83","12.38","12.25","12.58","12.67","12.53","12.27","12.57","13.06","13.18","12.94","12.11","12.02","11.81","11.11","11.18","11.36","11.38","12.2","12.35","12.39","12.53","12.33","11.72","11.95","11.15","11.03","11.66","10.98","11.12","10.92","10.83","10.98","11.48","10.69","10.59"
"RM","Belo Horizonte (MG)","19.79","19.06","19.2","19.28","19.6","19.95","19.36","19","18.47","18.54","19.05","19.16","18.77","18.68","18.23","18.66","18.25","18.71","18.68","18.94","17.93","18.18","18.34","17.88","18.33","18.83","18.62","19.16","18.82","18.67","18.78","19.06","19.21","19.04","18.46","17.58","17.24","17.98","17.76","18.46","18.16","17.89","18.03","17.62","18.35","18.66","18.22","17.6","17.5","17.35","17.09","18.13","17.98","18.48","17.82","17.77","17.94","18.1","18.23","18.33","18.96","18.94","18.04","17.62","17.5","17.5","18.04","17.89","17.95","17.72","17.79","17.51","17.32","17.82","17.64","18.02","18.03","17.88","17.47","17.44","17.64","17.16","16.78","16.4","16.36","16.85","16.9","16.34","16.47","16.5","16.82","17.07","16.7","16.76","16.64","16.54","16.75","16.23","16.13","16.31","16.18","15.89","16.22","16.19","16.57","16.36","15.61","15.85","16.73","16.29","16.19","15.98","15.51","15.6","15.56","15.97","15.68","15.74","15.6","15.64","15.56","15.76","15.69","15.58","15.34","15.53","15.76","15.16","15.26","15.24","14.52","14.08","13.87","14.59","14.04","14.72","14.36","14.93","15.31","14.74","14.71","14.54","14.09","14.19","14.55","14.36","13.74","13.94","13.86","14.17","14.22","14.03","13.94","13.68","13.89","13.84","13.68","13.53","13.78","13.48","13.68","13.02","13.45","13.47","12.93","12.97","11.96","11.51"
"RM","Rio de Janeiro (RJ)","15.39","15.91","15.79","16.12","15.94","14.86","15.38","14.8","14.34","14.83","14.55","14.53","14.42","14.28","14.13","14.64","14.59","14.44","14.32","14.2","14.1","14.13","13.87","13.84","13.95","13.92","14.17","14.58","13.86","14.07","14.2","14.1","14.55","14.2","13.75","13.74","13.74","13.31","13.43","13.62","12.76","12.84","13.15","13.42","14.1","14.12","13.8","13.25","12.72","12.75","12.73","12.58","12.78","12.84","12.77","13.11","13.54","13.44","13.44","13.02","12.68","12.43","12.56","12.42","12.01","12.59","12.66","12.83","13.4","12.86","12.5","12.33","12.49","13.08","12.71","12.69","12.31","12.19","12.31","12.52","13.23","12.77","12.52","12.27","12.38","12.11","12.04","11.76","11.75","11.31","11.92","11.87","12.2","12.41","12.32","11.77","11.59","11.22","11.35","11.4","11.23","11.52","11.5","11.89","11.67","11.99","11.69","11.25","11.26","11.51","11.98","11.69","11.54","11.38","11.29","11.97","11.92","12.34","12.22","11.52","11.32","12.07","11.78","12","11.43","11.48","12.22","12.06","12.21","12.01","11.68","11.35","11.3","11.38","11.06","10.86","10.48","10.35","10.54","11.09","11.4","11.02","10.71","10.6","10.83","10.78","10.45","9.95","10.03","10.22","10.43","10.88","11.5","11.23","10.9","10.54","9.88","10.05","10.44","10.76","10.8","11.06","10.76","10.41","10.33","9.97","9.28","9.37"
"RM","São Paulo (SP)","18.36","18.27","18.65","19.22","18.81","18.96","19.07","18.98","18.81","18.34","18.01","17.24","17.63","18.03","17.5","17.87","17.62","17.76","17.96","18.05","18.43","18.18","17.41","17.05","17.19","17.71","18.06","17.59","17.53","17.08","17.28","17.57","17.63","17.52","17.02","16.78","17.1","17.32","17.3","16.98","17.1","17","16.97","17.03","17.11","17.15","16.74","16.55","16.31","16.3","16.78","17.34","17.92","17.72","17.41","17.42","16.65","16.83","16.68","16.87","16.89","17.36","17.07","16.81","16.69","15.95","16.45","16.03","16.57","16.31","16.27","16.26","16.49","17.04","16.87","16.84","16.71","16.87","17.27","16.78","16.59","16.39","15.85","15.97","16.03","16.01","16.01","16.25","16.27","16.28","16.46","16.3","16.2","15.92","15.21","15.18","15.47","15.62","15.82","15.44","15.03","15.55","15.74","15.97","15.89","15.94","14.96","15.63","15.23","14.8","15.42","14.7","14.83","14.52","14.84","14.87","14.4","14.31","13.85","14.13","14.39","14.55","14.42","14.3","14.87","14.58","14.51","14.64","14.54","14.52","13.81","13.46","13.79","13.63","13.11","13.31","13.37","13.34","13.33","12.91","13.36","13.31","13","13.17","12.96","12.92","13.18","13.06","12.84","12.59","12.43","12.03","12.42","12.65","12.27","11.97","12.17","11.74","11.69","11.42","10.9","10.75","10.97","10.7","11.13","11.32","10.75","10.49"
