"Data","Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12 - "
"1940.07","1,068.83"
"1940.08","1,065.85"
"1940.09","1,064.89"
"1940.10","1,048.22"
"1940.11","1,024.65"
"1940.12","1,042.48"
"1941.01","1,015.47"
"1941.02","973.70"
"1941.03","1,007.34"
"1941.04","995.00"
"1941.05","958.95"
"1941.06","935.29"
"1941.07","950.11"
"1941.08","937.54"
"1941.09","929.92"
"1941.10","943.03"
"1941.11","924.63"
"1941.12","936.81"
"1942.01","945.41"
"1942.02","940.71"
"1942.03","942.31"
"1942.04","899.06"
"1942.05","882.30"
"1942.06","851.89"
"1942.07","827.72"
"1942.08","817.01"
"1942.09","800.37"
"1942.10","810.09"
"1942.11","807.83"
"1942.12","809.53"
"1943.01","794.82"
"1943.02","783.85"
"1943.03","784.95"
"1943.04","761.27"
"1943.05","758.24"
"1943.06","761.82"
"1943.07","923.82"
"1943.08","922.07"
"1943.09","903.28"
"1943.10","866.95"
"1943.11","865.91"
"1943.12","1,075.21"
"1944.01","973.48"
"1944.02","960.84"
"1944.03","931.49"
"1944.04","926.53"
"1944.05","903.89"
"1944.06","891.38"
"1944.07","894.38"
"1944.08","889.80"
"1944.09","888.21"
"1944.10","840.74"
"1944.11","811.70"
"1944.12","778.79"
"1945.01","770.68"
"1945.02","776.37"
"1945.03","759.40"
"1945.04","767.27"
"1945.05","767.27"
"1945.06","775.31"
"1945.07","769.49"
"1945.08","759.40"
"1945.09","761.57"
"1945.10","744.12"
"1945.11","738.75"
"1945.12","733.60"
"1946.01","714.32"
"1946.02","712.41"
"1946.03","714.32"
"1946.04","706.49"
"1946.05","698.95"
"1946.06","685.99"
"1946.07","676.12"
"1946.08","636.99"
"1946.09","612.85"
"1946.10","590.48"
"1946.11","574.76"
"1946.12","563.50"
"1947.01","533.33"
"1947.02","525.27"
"1947.03","517.38"
"1947.04","516.31"
"1947.05","523.62"
"1947.06","534.47"
"1947.07","556.90"
"1947.08","558.06"
"1947.09","547.44"
"1947.10","542.31"
"1947.11","540.04"
"1947.12","532.26"
"1948.01","524.16"
"1948.02","522.82"
"1948.03","522.15"
"1948.04","520.81"
"1948.05","517.50"
"1948.06","513.59"
"1948.07","512.30"
"1948.08","510.37"
"1948.09","508.46"
"1948.10","506.56"
"1948.11","505.30"
"1948.12","503.43"
"1949.01","498.50"
"1949.02","494.27"
"1949.03","489.51"
"1949.04","484.85"
"1949.05","480.84"
"1949.06","476.35"
"1949.07","474.68"
"1949.08","473.58"
"1949.09","471.93"
"1949.10","469.21"
"1949.11","466.52"
"1949.12","463.87"
"1950.01","462.29"
"1950.02","461.24"
"1950.03","459.68"
"1950.04","459.68"
"1950.05","470.30"
"1950.06","470.30"
"1950.07","458.13"
"1950.08","457.10"
"1950.09","455.57"
"1950.10","451.53"
"1950.11","448.05"
"1950.12","444.14"
"1951.01","435.59"
"1951.02","426.91"
"1951.03","419.01"
"1951.04","413.48"
"1951.05","408.09"
"1951.06","402.84"
"1951.07","400.86"
"1951.08","398.90"
"1951.09","396.95"
"1951.10","393.12"
"1951.11","388.99"
"1951.12","385.31"
"1952.01","1,178.86"
"1952.02","1,144.25"
"1952.03","1,110.65"
"1952.04","1,103.03"
"1952.05","1,095.51"
"1952.06","1,088.10"
"1952.07","1,083.52"
"1952.08","1,078.97"
"1952.09","1,074.46"
"1952.10","1,065.56"
"1952.11","1,056.81"
"1952.12","1,047.34"
"1953.01","1,029.73"
"1953.02","1,012.70"
"1953.03","996.23"
"1953.04","986.30"
"1953.05","976.56"
"1953.06","967.75"
"1953.07","956.23"
"1953.08","945.69"
"1953.09","934.69"
"1953.10","932.66"
"1953.11","930.63"
"1953.12","929.29"
"1954.01","902.55"
"1954.02","876.11"
"1954.03","852.87"
"1954.04","841.16"
"1954.05","829.76"
"1954.06","819.19"
"1954.07","1,616.76"
"1954.08","1,595.70"
"1954.09","1,575.18"
"1954.10","1,555.18"
"1954.11","1,535.68"
"1954.12","1,517.56"
"1955.01","1,472.39"
"1955.02","1,429.04"
"1955.03","1,390.41"
"1955.04","1,377.02"
"1955.05","1,363.15"
"1955.06","1,350.27"
"1955.07","1,337.63"
"1955.08","1,325.23"
"1955.09","1,313.05"
"1955.10","1,293.90"
"1955.11","1,275.29"
"1955.12","1,257.83"
"1956.01","1,219.08"
"1956.02","1,181.57"
"1956.03","1,148.85"
"1956.04","1,134.66"
"1956.05","1,120.33"
"1956.06","1,106.83"
"1956.07","1,087.18"
"1956.08","1,691.34"
"1956.09","1,663.03"
"1956.10","1,636.96"
"1956.11","1,611.70"
"1956.12","1,587.82"
"1957.01","1,535.15"
"1957.02","1,484.24"
"1957.03","1,439.14"
"1957.04","1,431.55"
"1957.05","1,424.04"
"1957.06","1,416.12"
"1957.07","1,413.66"
"1957.08","1,411.21"
"1957.09","1,408.28"
"1957.10","1,401.98"
"1957.11","1,395.74"
"1957.12","1,389.54"
"1958.01","1,360.76"
"1958.02","1,332.71"
"1958.03","1,306.63"
"1958.04","1,290.48"
"1958.05","1,274.73"
"1958.06","1,259.36"
"1958.07","1,247.40"
"1958.08","1,235.67"
"1958.09","1,224.15"
"1958.10","1,207.10"
"1958.11","1,190.52"
"1958.12","1,174.72"
"1959.01","1,766.18"
"1959.02","1,685.63"
"1959.03","1,612.50"
"1959.04","1,584.69"
"1959.05","1,557.82"
"1959.06","1,531.84"
"1959.07","1,513.10"
"1959.08","1,494.81"
"1959.09","1,476.96"
